"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_user_account","tests.pytest","2026-09-19","passed","2026-09-19","TestAccountFlow","test_fixtures","",""
"","0","test_several_numbers[2-4]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_several_numbers[3-9]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","1148","test_empty_courses_list","tests.courses","2026-09-19","passed","2026-09-19","","test_courses","",""
"","0","test_identifiers[+70000000011]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_rerun_with_condition","tests.pytest","2026-09-19","passed","2026-09-19","","test_reruns","",""
"","0","test_multiplication_of_numbers[firefox-linux]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_rerun_2","tests.pytest","2026-09-19","passed","2026-09-19","TestReruns","test_reruns","",""
"","0","test_multiplication_of_numbers[firefox-macos]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_multiplication_of_numbers[chromium-macos]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","1510","test_navigate_from_authorization_to_registration","tests.authentication","2026-09-19","passed","2026-09-19","","test_authorization","",""
"","1321","test_wrong_email_or_password_authorization[user.name@gmail.com-password]","tests.authentication","2026-09-19","passed","2026-09-19","","test_authorization","",""
"","1311","test_wrong_email_or_password_authorization[user.name@gmail.com-  ]","tests.authentication","2026-09-19","passed","2026-09-19","","test_wrong_email_or_password_authorization","",""
"","0","test_user_without_operations[Zara]","tests.pytest","2026-09-19","passed","2026-09-19","TestOperations","test_parametrization","",""
"","1873","test_successful_authorization","tests.authentication","2026-09-19","passed","2026-09-19","","test_authorization","",""
"","1284","test_dashboard_displaying","tests.dashboard","2026-09-19","passed","2026-09-19","","test_dashboard","",""
"","0","test_numbers[2]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
